Type,ID,TimeStamp,Bus,Len,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7
1,0x303,2.111,0,8,00,00,00,00,D0,0A,17,3F
1,0x304,2.134,0,8,00,00,00,00,00,00,00,00
1,0x207,2.157,0,5,1E,08,C2,00,BE,3D,25,00
1,0x304,2.18,0,8,00,00,00,00,00,00,00,00
1,0x305,2.203,0,8,00,00,00,00,00,00,00,00
1,0x304,2.226,0,8,00,00,00,00,00,00,00,00
1,0x0,2.249,0,8,00,00,00,00,00,00,00,28
1,0x171,2.273,0,8,00,00,00,00,01,00,00,01
1,0x305,2.296,0,8,00,00,00,00,00,00,00,00
1,0x106,2.321,0,8,00,00,00,00,00,00,00,00
1,0x0,2.344,0,8,00,00,00,00,00,00,00,28
1,0x305,2.368,0,8,00,00,00,00,00,00,00,00
1,0x303,2.391,0,8,00,00,00,00,B2,21,17,3F
1,0x208,2.414,0,2,1F,FF,B8,41,60,CB,E3,41
1,0x303,2.437,0,8,00,00,00,00,03,DD,16,3F
1,0x305,2.46,0,8,00,00,00,00,00,00,00,00
1,0x522,2.483,0,6,01,00,87,63,02,00,00,00
1,0x305,2.506,0,8,00,00,00,00,00,00,00,00
1,0x304,2.529,0,8,00,00,00,00,00,00,00,00
1,0x0,2.552,0,8,00,00,00,00,00,00,00,28
1,0x304,2.577,0,8,00,00,00,00,00,00,00,00
1,0x305,2.6,0,8,00,00,00,00,00,00,00,00
1,0x304,2.623,0,8,00,00,00,00,00,00,00,00
1,0x0,2.646,0,8,00,00,00,00,00,00,00,28
1,0x171,2.669,0,8,00,00,00,00,01,00,00,01
1,0x305,2.692,0,8,00,00,00,00,00,00,00,00
1,0x106,2.716,0,8,00,00,00,00,00,00,00,00
1,0x0,2.739,0,8,00,00,00,00,00,00,00,28
1,0x305,2.762,0,8,00,00,00,00,00,00,00,00
1,0x303,2.785,0,8,00,00,00,00,7C,53,15,3F
1,0x305,2.81,0,8,00,00,00,00,00,00,00,00
1,0x210,2.833,0,2,21,FF,00,7A,00,C4,04,00
1,0x214,2.856,0,2,21,FF,B8,41,10,35,E8,41
1,0x521,2.879,0,6,00,04,F4,FF,FF,FF,00,00
1,0x305,2.903,0,8,00,00,00,00,00,00,00,00
1,0x304,2.926,0,8,00,00,00,00,00,00,00,00
1,0x0,2.949,0,8,00,00,00,00,00,00,00,28
1,0x170,2.972,0,3,00,00,00,00,00,00,00,00
1,0x305,2.995,0,8,00,00,00,00,00,00,00,00
1,0x304,3.018,0,8,00,00,00,00,00,00,00,00
1,0x20C,3.043,0,2,22,FF,FF,FF,FF,FF,E8,41
1,0x305,3.066,0,8,00,00,00,00,00,00,00,00
1,0x214,3.089,0,2,22,FF,B8,41,E0,F9,E9,41
1,0x305,3.112,0,8,00,00,00,00,00,00,00,00
1,0x303,3.135,0,8,00,00,00,00,54,09,17,3F
1,0x6,3.158,0,8,FF,FF,01,50,99,99,00,00
1,0x521,3.181,0,6,00,07,F4,FF,FF,FF,00,00
1,0x305,3.205,0,8,00,00,00,00,00,00,00,00
1,0x303,3.228,0,8,00,00,00,00,4C,6A,16,3F
1,0x6,3.251,0,8,FF,FF,01,50,99,99,00,00
1,0x171,3.274,0,8,00,00,00,00,01,00,00,01
1,0x305,3.299,0,8,00,00,00,00,00,00,00,00
1,0x304,3.322,0,8,00,00,00,00,00,00,00,00
1,0x0,3.353,0,8,00,00,00,00,00,00,00,28
1,0x304,3.39,0,8,00,00,00,00,00,00,00,00
1,0x305,3.413,0,8,00,00,00,00,00,00,00,00
1,0x106,3.436,0,8,00,00,00,00,00,00,00,00
1,0x305,3.459,0,8,00,00,00,00,00,00,00,00
1,0x106,3.482,0,8,00,00,00,00,00,00,00,00
1,0x303,3.505,0,8,00,00,00,00,82,79,18,3F
1,0x305,3.528,0,8,00,00,00,00,00,00,00,00
1,0x303,3.553,0,8,00,00,00,00,2F,09,17,3F
1,0x305,3.576,0,8,00,00,00,00,00,00,00,00
1,0x305,3.599,0,8,00,00,00,00,00,00,00,00
1,0x304,3.622,0,8,00,00,00,00,00,00,00,00
1,0x0,3.645,0,8,00,00,00,00,00,00,00,28
1,0x304,3.669,0,8,00,00,00,00,00,00,00,00
1,0x305,3.692,0,8,00,00,00,00,00,00,00,00
1,0x304,3.715,0,8,00,00,00,00,00,00,00,00
1,0x0,3.738,0,8,00,00,00,00,00,00,00,28
1,0x305,3.761,0,8,00,00,00,00,00,00,00,00
1,0x305,3.786,0,8,00,00,00,00,00,00,00,00
1,0x106,3.809,0,8,00,00,00,00,00,00,00,00
1,0x208,3.832,0,2,23,FF,00,00,65,7D,17,3F
1,0x305,3.855,0,8,00,00,00,00,00,00,00,00
1,0x303,3.879,0,8,00,00,00,00,57,94,17,3F
1,0x305,3.902,0,8,00,00,00,00,00,00,00,00
1,0x207,3.925,0,8,24,02,84,00,94,A4,00,00
1,0x0,3.948,0,8,00,00,00,00,00,00,00,28
1,0x304,3.971,0,8,00,00,00,00,00,00,00,00
1,0x208,3.994,0,2,24,FF,00,00,00,00,E8,41
1,0x304,4.019,0,8,00,00,00,00,00,00,00,00
1,0x0,4.042,0,8,00,00,00,00,00,00,00,28
1,0x304,4.065,0,8,00,00,00,00,00,00,00,00
1,0x207,4.089,0,8,25,03,86,00,96,A6,00,00
1,0x304,4.112,0,8,00,00,00,00,00,00,00,00
1,0x305,4.135,0,8,00,00,00,00,00,00,00,00
1,0x106,4.158,0,8,00,00,00,00,00,00,00,00
1,0x521,4.181,0,6,00,01,FA,FF,FF,FF,E6,41
1,0x208,4.204,0,2,25,FF,BF,00,00,3D,25,00
1,0x210,4.227,0,2,25,FF,FF,FF,FF,FF,00,00
1,0x5,4.25,0,8,00,00,00,D6,00,25,62,64
1,0x171,4.275,0,8,00,00,00,00,01,00,00,01
1,0x305,4.298,0,8,00,00,00,00,00,00,00,00
1,0x303,4.321,0,8,00,00,00,00,1A,AF,16,3F
1,0x0,4.345,0,8,00,00,00,00,00,00,00,28
1,0x304,4.368,0,8,00,00,00,00,00,00,00,00
1,0x305,4.391,0,8,00,00,00,00,00,00,00,00
1,0x304,4.414,0,8,00,00,00,00,00,00,00,00
1,0x0,4.437,0,8,00,00,00,00,00,00,00,28
1,0x304,4.46,0,8,00,00,00,00,00,00,00,00
1,0x521,4.483,0,6,00,04,03,00,00,00,E3,41
1,0x106,4.508,0,8,00,00,00,00,00,00,00,00
1,0x0,4.531,0,8,00,00,00,00,00,00,00,28
1,0x7,4.554,0,8,00,00,00,00,00,00,00,37
1,0x303,4.577,0,8,00,00,00,00,A9,4F,17,3F
1,0x305,4.601,0,8,00,00,00,00,00,00,00,00
1,0x303,4.624,0,8,00,00,00,00,21,1E,16,3F
1,0x0,4.647,0,8,00,00,00,00,00,00,00,28
1,0x303,4.67,0,8,00,00,00,00,02,D9,17,3F
1,0x305,4.693,0,8,00,00,00,00,00,00,00,00
1,0x304,4.716,0,8,00,00,00,00,00,00,00,00
1,0x0,4.741,0,8,00,00,00,00,00,00,00,28
1,0x304,4.764,0,8,00,00,00,00,00,00,00,00
1,0x305,4.787,0,8,00,00,00,00,00,00,00,00
1,0x304,4.811,0,8,00,00,00,00,00,00,00,00
1,0x207,4.834,0,8,26,02,81,00,91,A1,00,00
1,0x0,4.857,0,8,00,00,00,00,00,00,00,28
1,0x521,4.888,0,6,00,08,00,00,00,00,00,01
1,0x305,4.919,0,8,00,00,00,00,00,00,00,00
