tempoDoSistema,frameType,msgId,DLC,data0,data1,data2,data3,data4,data5,data6,data7
6972,standard,48,8,00,0B,02,00,00,00,00,00
7007,standard,47,8,10,27,20,4E,20,4E,E8,03
7036,standard,46,8,0F,00,10,27,20,01,44,01
7065,standard,100,3,00,00,00,27,20,01,44,01
7091,standard,48,8,00,0B,02,00,00,00,00,00
7117,standard,47,8,10,27,20,4E,20,4E,E8,03
7143,standard,46,8,0F,00,10,27,20,01,44,01
7170,standard,43,6,76,00,24,00,96,00,44,01
7196,standard,42,8,5C,0F,00,00,00,00,01,01
7222,standard,48,8,00,0B,02,00,00,00,00,00
7248,standard,47,8,10,27,20,4E,20,4E,E8,03
7275,standard,46,8,0D,00,10,27,21,01,41,01
7301,standard,100,3,00,00,00,27,21,01,41,01
7329,standard,48,8,00,0B,02,00,00,00,00,00
7356,standard,47,8,10,27,20,4E,20,4E,E8,03
7382,standard,46,8,0B,00,10,27,21,01,41,01
7408,standard,43,6,76,00,24,00,96,00,41,01
7435,standard,48,8,00,0B,02,00,00,00,00,00
7461,standard,100,3,00,00,00,27,20,01,40,01
7487,standard,47,8,10,27,20,4E,20,4E,E8,03
7513,standard,43,6,76,00,24,00,96,00,40,01
7539,standard,47,8,10,27,20,4E,20,4E,E8,03
7566,standard,48,8,00,0B,02,00,00,00,00,00
7594,standard,46,8,0B,00,10,27,1E,01,41,01
7621,standard,48,8,00,0B,02,00,00,00,00,00
7647,standard,46,8,10,00,10,27,1E,01,40,01
7673,standard,48,8,00,0B,02,00,00,00,00,00
7699,standard,46,8,11,00,10,27,1E,01,40,01
7726,standard,48,8,00,0B,02,00,00,00,00,00
7752,standard,46,8,0B,00,10,27,1E,01,3E,01
7778,standard,48,8,00,0B,02,00,00,00,00,00
7804,standard,43,6,76,00,24,00,96,00,3E,01
7831,standard,48,8,00,0B,02,00,00,00,00,00
7857,standard,100,3,00,00,00,27,20,01,3E,01
7886,standard,47,8,10,27,20,4E,20,4E,E8,03
7912,standard,43,6,76,00,24,00,96,00,3E,01
7938,standard,47,8,10,27,20,4E,20,4E,E8,03
7964,standard,100,3,00,00,00,27,20,01,3E,01
7990,standard,47,8,10,27,20,4E,20,4E,E8,03
8017,standard,48,8,00,0B,02,00,00,00,00,00
8043,standard,46,8,0C,00,10,27,1E,01,3E,01
8069,standard,48,8,00,0B,02,00,00,00,00,00
8095,standard,46,8,0C,00,10,27,1E,01,3E,01
8122,standard,48,8,00,0B,02,00,00,00,00,00
8150,standard,46,8,0A,00,10,27,1D,01,39,01
8177,standard,48,8,00,0B,02,00,00,00,00,00
8203,standard,43,6,76,00,24,00,96,00,39,01
8229,standard,48,8,00,0B,02,00,00,00,00,00
8255,standard,100,3,00,00,00,27,1E,01,37,01
8291,standard,47,8,10,27,20,4E,20,4E,E8,03
8327,standard,43,6,76,00,24,00,96,00,37,01
8354,standard,47,8,10,27,20,4E,20,4E,E8,03
8380,standard,100,3,00,00,00,27,1E,01,35,01
8406,standard,47,8,10,27,20,4E,20,4E,E8,03
8432,standard,43,6,76,00,24,00,96,00,35,01
8461,standard,46,8,12,00,10,27,1E,01,32,01
8495,standard,48,8,00,0B,02,00,00,00,00,00
8537,standard,46,8,0E,00,10,27,1E,01,32,01
8563,standard,48,8,00,0B,02,00,00,00,00,00
8590,standard,100,3,00,00,00,27,1D,01,35,01
8616,standard,46,8,0F,00,10,27,1D,01,35,01
8642,standard,48,8,00,0B,02,00,00,00,00,00
8668,standard,46,8,0D,00,10,27,1D,01,34,01
8694,standard,48,8,00,0B,02,00,00,00,00,00
8721,standard,46,8,0E,00,10,27,1D,01,34,01
8749,standard,48,8,00,0B,02,00,00,00,00,00
8776,standard,100,3,00,00,00,27,1D,01,31,01
8802,standard,43,6,76,00,24,00,96,00,31,01
8828,standard,48,8,00,0B,02,00,00,00,00,00
8854,standard,100,3,00,00,00,27,1D,01,32,01
8881,standard,47,8,10,27,20,4E,20,4E,E8,03
8907,standard,43,6,76,00,24,00,96,00,32,01
8933,standard,47,8,10,27,20,4E,20,4E,E8,03
8959,standard,100,3,00,00,00,27,1D,01,34,01
8985,standard,47,8,10,27,20,4E,20,4E,E8,03
9012,standard,43,6,76,00,24,00,96,00,34,01
9040,standard,46,8,10,00,10,27,1D,01,31,01
9067,standard,100,3,00,00,00,27,1D,01,31,01
9093,standard,46,8,0E,00,10,27,1D,01,31,01
9119,standard,48,8,00,0B,02,00,00,00,00,00
9145,standard,46,8,0C,00,10,27,20,01,36,01
9172,standard,48,8,00,0B,02,00,00,00,00,00
9198,standard,43,6,76,00,24,00,96,00,36,01
9224,standard,48,8,00,0B,02,00,00,00,00,00
9250,standard,100,3,00,00,00,27,21,01,43,01
9277,standard,48,8,00,0B,02,00,00,00,00,00
9305,standard,43,6,76,00,24,00,96,00,43,01
9331,standard,47,8,10,27,20,4E,20,4E,E8,03
9358,standard,100,3,00,00,00,27,20,01,41,01
9384,standard,47,8,10,27,20,4E,20,4E,E8,03
9410,standard,43,6,76,00,24,00,96,00,41,01
9436,standard,47,8,10,27,20,4E,20,4E,E8,03
9463,standard,100,3,00,00,00,27,20,01,41,01
9489,standard,46,8,10,00,10,27,20,01,41,01
9515,standard,43,6,76,00,24,00,96,00,41,01
9541,standard,46,8,11,00,10,27,21,01,41,01
9568,standard,48,8,00,0B,02,00,00,00,00,00
9596,standard,43,6,76,00,24,00,96,00,41,01
9622,standard,48,8,00,0B,02,00,00,00,00,00
9649,standard,100,3,00,00,00,27,22,01,44,01
9675,standard,48,8,00,0B,02,00,00,00,00,00
9701,standard,43,6,76,00,24,00,96,00,44,01
9727,standard,47,8,10,27,20,4E,20,4E,E8,03
9754,standard,100,3,00,00,00,27,21,01,46,01
9780,standard,47,8,10,27,20,4E,20,4E,E8,03
9806,standard,43,6,76,00,24,00,96,00,46,01
9832,standard,47,8,10,27,20,4E,20,4E,E8,03
9861,standard,100,3,00,00,00,27,21,01,43,01
