tempoDoSistema,frameType,msgId,DLC,data0,data1,data2,data3,data4,data5,data6,data7
7000,standard,100,3,00,00,00,00,00,00,00,00
7038,standard,48,8,00,0B,06,00,00,00,00,00
7071,standard,47,8,10,27,20,4E,20,4E,E8,03
7100,standard,46,8,05,00,10,27,16,01,FA,00
7130,standard,43,6,76,00,26,00,9B,00,FA,00
7160,standard,42,8,00,00,79,26,00,00,00,01
7192,standard,48,8,00,0B,06,00,00,00,00,00
7222,standard,47,8,10,27,20,4E,20,4E,E8,03
7252,standard,46,8,05,00,10,27,15,01,FA,00
7281,standard,100,3,00,00,00,27,15,01,FA,00
7320,standard,48,8,00,0B,06,00,00,00,00,00
7356,standard,47,8,10,27,20,4E,20,4E,E8,03
7386,standard,46,8,05,00,10,27,15,01,FA,00
7416,standard,43,6,76,00,26,00,9B,00,FA,00
7446,standard,42,8,00,00,84,2E,00,00,00,01
7475,standard,47,8,10,27,20,4E,20,4E,E8,03
7511,standard,100,3,00,00,00,27,15,01,FA,00
7541,standard,46,8,06,00,10,27,15,01,FA,00
7570,standard,48,8,00,0B,06,00,00,00,00,00
7600,standard,100,3,00,00,00,27,13,01,FA,00
7630,standard,46,8,06,00,10,27,13,01,FA,00
7659,standard,48,8,00,0B,06,00,00,00,00,00
7689,standard,100,3,00,00,00,27,13,01,FA,00
7719,standard,47,8,10,27,20,4E,20,4E,E8,03
7749,standard,43,6,76,00,26,00,9B,00,FA,00
7778,standard,46,8,09,03,10,27,13,01,FA,00
7808,standard,47,8,10,27,20,4E,20,4E,E8,03
7840,standard,43,6,76,00,26,00,9B,00,FA,00
7870,standard,46,8,66,04,10,27,13,01,FA,00
7900,standard,100,3,00,00,00,27,13,01,FA,00
7929,standard,43,6,76,00,26,00,9B,00,FA,00
7959,standard,47,8,10,27,20,4E,20,4E,E8,03
7989,standard,100,3,01,00,00,27,13,01,FA,00
8018,standard,46,8,22,06,10,27,13,01,FA,00
8048,standard,43,6,76,00,26,00,9B,00,FA,00
8078,standard,100,3,01,00,00,27,13,01,FA,00
8108,standard,47,8,10,27,20,4E,20,4E,E8,03
8140,standard,43,6,76,00,26,00,9B,00,FA,00
8169,standard,46,8,1F,06,10,27,13,01,FA,00
8199,standard,100,3,01,00,00,27,13,01,FA,00
8229,standard,43,6,76,00,26,00,9B,00,FA,00
8259,standard,47,8,10,27,20,4E,20,4E,E8,03
8288,standard,100,3,01,00,00,27,15,01,FA,00
