tempoDoSistema,frameType,msgId,DLC,data0,data1,data2,data3,data4,data5,data6,data7
6974,standard,48,8,00,0B,02,00,00,00,00,00
7009,standard,47,8,10,27,20,4E,20,4E,E8,03
7038,standard,46,8,06,00,10,27,15,01,FE,00
7064,standard,100,3,00,18,00,27,15,01,FE,00
7090,standard,48,8,00,0B,02,00,00,00,00,00
7117,standard,47,8,10,27,20,4E,20,4E,E8,03
7143,standard,46,8,05,00,10,27,15,01,FE,00
7169,standard,43,6,76,00,1E,00,96,00,FE,00
7196,standard,42,8,00,00,00,00,00,00,01,01
7224,standard,48,8,00,0B,02,00,00,00,00,00
7251,standard,47,8,10,27,20,4E,20,4E,E8,03
7277,standard,46,8,05,00,10,27,15,01,FD,00
7303,standard,100,3,00,18,00,27,15,01,FD,00
7329,standard,48,8,00,0B,02,00,00,00,00,00
7356,standard,47,8,10,27,20,4E,20,4E,E8,03
7382,standard,46,8,06,00,10,27,15,01,FD,00
7408,standard,43,6,76,00,1E,00,96,00,FD,00
7435,standard,48,8,00,0B,02,00,00,00,00,00
7461,standard,100,3,00,18,00,27,15,01,FC,00
7487,standard,47,8,10,27,20,4E,20,4E,E8,03
7516,standard,42,8,00,00,00,00,00,00,01,01
7542,standard,47,8,10,27,20,4E,20,4E,E8,03
7569,standard,48,8,00,0B,02,00,00,00,00,00
7595,standard,47,8,10,27,20,4E,20,4E,E8,03
7621,standard,42,8,00,00,00,00,00,00,01,01
7648,standard,47,8,10,27,20,4E,20,4E,E8,03
7674,standard,48,8,00,0B,02,00,00,00,00,00
7700,standard,46,8,06,00,10,27,15,01,FC,00
7726,standard,48,8,00,0B,02,00,00,00,00,00
7764,standard,46,8,05,00,10,27,16,01,FC,00
7807,standard,48,8,00,0B,02,00,00,00,00,00
7834,standard,43,6,76,00,1E,00,96,00,FC,00
7860,standard,48,8,00,0B,02,00,00,00,00,00
7886,standard,100,3,00,18,00,27,16,01,FD,00
7912,standard,48,8,00,0B,02,00,00,00,00,00
