tempoDoSistema,frameType,msgId,DLC,data0,data1,data2,data3,data4,data5,data6,data7
6973,standard,48,8,00,0B,02,00,00,00,00,00
7008,standard,47,8,10,27,20,4E,20,4E,E8,03
7037,standard,46,8,07,00,10,27,A3,13,8F,01
7064,standard,100,3,00,00,00,27,A3,13,8F,01
7091,standard,48,8,00,0B,02,00,00,00,00,00
7119,standard,47,8,10,27,20,4E,20,4E,E8,03
7146,standard,46,8,0A,00,10,27,A3,13,8F,01
7173,standard,43,6,76,00,26,00,94,00,8F,01
7201,standard,42,8,00,00,00,00,00,00,01,01
7228,standard,48,8,00,0B,02,00,00,00,00,00
7256,standard,47,8,10,27,20,4E,20,4E,E8,03
7283,standard,46,8,08,00,10,27,A3,13,8F,01
7313,standard,100,3,00,00,00,27,A3,13,8F,01
7340,standard,48,8,00,0B,02,00,00,00,00,00
7367,standard,47,8,10,27,20,4E,20,4E,E8,03
7394,standard,46,8,08,00,10,27,A3,13,8F,01
7422,standard,43,6,76,00,26,00,94,00,8F,01
7449,standard,46,8,07,00,10,27,A3,13,8F,01
7476,standard,100,3,00,00,00,27,A3,13,8F,01
7504,standard,46,8,08,00,10,27,A3,13,8F,01
7531,standard,48,8,00,0B,02,00,00,00,00,00
7558,standard,100,3,00,00,00,27,A3,13,8F,01
7588,standard,47,8,10,27,20,4E,20,4E,E8,03
7615,standard,43,6,76,00,26,00,94,00,8F,01
7643,standard,47,8,10,27,20,4E,20,4E,E8,03
7680,standard,100,3,00,00,00,27,A3,13,8F,01
7719,standard,47,8,10,27,20,4E,20,4E,E8,03
7747,standard,43,6,76,00,26,00,94,00,8F,01
7774,standard,46,8,06,00,10,27,A3,13,8F,01
7801,standard,48,8,00,0B,02,00,00,00,00,00
7829,standard,46,8,0A,00,10,27,A3,13,8F,01
7856,standard,48,8,00,0B,02,00,00,00,00,00
7883,standard,100,3,00,00,00,27,A3,13,8F,01
7913,standard,47,8,10,27,20,4E,20,4E,E8,03
7940,standard,43,6,76,00,26,00,94,00,8F,01
7968,standard,46,8,0A,00,10,27,A3,13,8F,01
7995,standard,47,8,10,27,20,4E,20,4E,E8,03
8022,standard,43,6,76,00,26,00,94,00,8F,01
8050,standard,46,8,08,00,10,27,A3,13,8F,01
8077,standard,100,3,00,00,00,27,A3,13,8F,01
8104,standard,46,8,08,00,10,27,A3,13,8F,01
8132,standard,48,8,00,0B,02,00,00,00,00,00
8159,standard,100,3,00,00,00,27,A3,13,8F,01
8189,standard,47,8,10,27,20,4E,20,4E,E8,03
8216,standard,43,6,76,00,26,00,94,00,8F,01
8244,standard,47,8,10,27,20,4E,20,4E,E8,03
8271,standard,100,3,00,00,00,27,A3,13,8F,01
8298,standard,47,8,10,27,20,4E,20,4E,E8,03
8325,standard,43,6,76,00,26,00,94,00,8F,01
8353,standard,46,8,0C,00,10,27,A3,13,8F,01
8380,standard,48,8,00,0B,02,00,00,00,00,00
8407,standard,46,8,07,00,10,27,A3,13,8F,01
8435,standard,48,8,00,0B,02,00,00,00,00,00
8462,standard,100,3,00,00,00,27,A3,13,8F,01
8492,standard,47,8,10,27,20,4E,20,4E,E8,03
8519,standard,43,6,76,00,26,00,94,00,8F,01
8546,standard,47,8,10,27,20,4E,20,4E,E8,03
8574,standard,100,3,00,00,00,27,A9,13,8F,01
8601,standard,46,8,09,00,10,27,A9,13,8F,01
8628,standard,42,8,00,00,00,00,00,00,01,01
8656,standard,46,8,06,00,10,27,A9,13,8F,01
8683,standard,48,8,00,0B,02,00,00,00,00,00
8710,standard,43,6,76,00,26,00,94,00,8F,01
8738,standard,48,8,00,0B,02,00,00,00,00,00
8767,standard,100,3,00,00,00,27,A9,13,8F,01
8795,standard,47,8,10,27,20,4E,20,4E,E8,03
8822,standard,43,6,76,00,26,00,94,00,8F,01
8849,standard,46,8,0A,00,10,27,A9,13,8F,01
8877,standard,100,3,00,00,00,27,A9,13,8F,01
8904,standard,46,8,08,00,10,27,A3,13,8F,01
8931,standard,48,8,00,0B,02,00,00,00,00,00
8959,standard,100,3,00,00,00,27,A3,13,8F,01
8986,standard,48,8,00,0B,02,00,00,00,00,00
9013,standard,43,6,76,00,26,00,94,00,8F,01
9040,standard,47,8,10,27,20,4E,20,4E,E8,03
9070,standard,100,3,00,00,00,27,A3,13,8F,01
9097,standard,47,8,10,27,20,4E,20,4E,E8,03
9125,standard,43,6,76,00,26,00,94,00,8F,01
9152,standard,46,8,08,00,10,27,A3,13,8F,01
9179,standard,48,8,00,0B,02,00,00,00,00,00
9216,standard,46,8,06,00,10,27,A3,13,8F,01
9250,standard,48,8,00,0B,02,00,00,00,00,00
9278,standard,100,3,00,00,00,27,A3,13,8F,01
9305,standard,47,8,10,27,20,4E,20,4E,E8,03
9332,standard,43,6,76,00,26,00,94,00,8F,01
9362,standard,47,8,10,27,20,4E,20,4E,E8,03
9389,standard,100,3,00,00,00,27,A3,13,8F,01
9416,standard,46,8,08,00,10,27,A3,13,8F,01
9444,standard,43,6,76,00,26,00,94,00,8F,01
9471,standard,46,8,06,00,10,27,A3,13,8F,01
9498,standard,47,8,10,27,20,4E,20,4E,E8,03
9526,standard,43,6,76,00,26,00,94,00,8F,01
9553,standard,46,8,07,00,10,27,A3,13,8F,01
9580,standard,48,8,00,0B,02,00,00,00,00,00
9608,standard,43,6,76,00,26,00,94,00,8F,01
9635,standard,47,8,10,27,20,4E,20,4E,E8,03
9665,standard,100,3,00,00,00,27,A3,13,8F,01
9692,standard,47,8,10,27,20,4E,20,4E,E8,03
9720,standard,43,6,76,00,26,00,94,00,8F,01
9747,standard,47,8,10,27,20,4E,20,4E,E8,03
9774,standard,100,3,00,00,00,27,A3,13,8F,01
9801,standard,46,8,07,00,10,27,A3,13,8F,01
9829,standard,43,6,76,00,26,00,94,00,8F,01
9856,standard,46,8,06,00,10,27,A3,13,8F,01
9883,standard,48,8,00,0B,02,00,00,00,00,00
