tempoDoSistema,frameType,msgId,DLC,data0,data1,data2,data3,data4,data5,data6,data7
6973,standard,46,8,04,00,10,27,9D,13,8F,01
7009,standard,48,8,00,0B,02,00,00,00,00,00
7039,standard,100,3,00,00,00,00,00,00,00,00
7066,standard,47,8,10,27,20,4E,20,4E,E8,03
7094,standard,46,8,03,00,10,27,9D,13,8F,01
7121,standard,48,8,00,0B,02,00,00,00,00,00
7148,standard,43,6,76,00,26,00,95,00,00,00
7176,standard,42,8,00,00,00,00,00,00,00,01
7203,standard,47,8,10,27,20,4E,20,4E,E8,03
7233,standard,46,8,03,00,10,27,9D,13,8F,01
7260,standard,48,8,00,0B,02,00,00,00,00,00
7287,standard,100,3,00,00,00,00,00,00,00,00
7315,standard,47,8,10,27,20,4E,20,4E,E8,03
7342,standard,46,8,04,00,10,27,9D,13,8F,01
7370,standard,48,8,00,0B,02,00,00,00,00,00
7397,standard,43,6,76,00,26,00,95,00,00,00
7424,standard,42,8,00,00,00,00,00,00,00,01
7452,standard,48,8,00,0B,02,00,00,00,00,00
7479,standard,47,8,10,27,20,4E,20,4E,E8,03
7506,standard,48,8,00,0B,02,00,00,00,00,00
7536,standard,46,8,03,00,10,27,9D,13,8F,01
7564,standard,48,8,00,0B,02,00,00,00,00,00
7591,standard,46,8,03,00,10,27,9D,13,8F,01
7618,standard,48,8,00,0B,02,00,00,00,00,00
7646,standard,48,8,00,0B,02,00,00,00,00,00
7673,standard,100,3,00,00,00,00,00,00,00,00
7700,standard,48,8,00,0B,02,00,00,00,00,00
7728,standard,47,8,10,27,20,4E,20,4E,E8,03
7755,standard,48,8,00,0B,02,00,00,00,00,00
7782,standard,46,8,03,00,10,27,97,13,8F,01
7812,standard,48,8,00,0B,02,00,00,00,00,00
7839,standard,46,8,03,00,10,27,97,13,8F,01
7867,standard,48,8,00,0B,02,00,00,00,00,00
7894,standard,48,8,00,0B,02,00,00,00,00,00
7921,standard,43,6,76,00,26,00,95,00,00,00
7949,standard,48,8,00,0B,02,00,00,00,00,00
7976,standard,100,3,00,00,00,00,00,00,00,00
8003,standard,48,8,00,0B,02,00,00,00,00,00
8030,standard,47,8,10,27,20,4E,20,4E,E8,03
8058,standard,48,8,00,0B,02,00,00,00,00,00
8094,standard,46,8,03,00,10,27,97,13,8F,01
8130,standard,48,8,00,0B,02,00,00,00,00,00
8158,standard,48,8,00,0B,02,00,00,00,00,00
8185,standard,100,3,00,00,00,00,00,00,00,00
8213,standard,48,8,00,0B,02,00,00,00,00,00
8240,standard,43,6,76,00,26,00,95,00,00,00
8267,standard,48,8,00,0B,02,00,00,00,00,00
8294,standard,47,8,10,27,20,4E,20,4E,E8,03
8322,standard,48,8,00,0B,02,00,00,00,00,00
8349,standard,46,8,03,00,10,27,A3,13,8F,01
8376,standard,48,8,00,0B,02,00,00,00,00,00
8406,standard,48,8,00,0B,02,00,00,00,00,00
8433,standard,46,8,04,00,10,27,A3,13,8F,01
8461,standard,48,8,00,0B,02,00,00,00,00,00
8488,standard,46,8,03,00,10,27,A3,13,8F,01
8515,standard,48,8,00,0B,02,00,00,00,00,00
8543,standard,48,8,00,0B,02,00,00,00,00,00
8570,standard,100,3,00,00,00,00,00,00,00,00
