tempoDoSistema,frameType,msgId,DLC,data0,data1,data2,data3,data4,data5,data6,data7
6979,standard,48,8,00,0B,02,00,00,00,00,00
7012,standard,47,8,10,27,20,4E,20,4E,E8,03
7039,standard,46,8,05,00,10,27,2A,01,28,01
7063,standard,100,3,00,00,00,27,2A,01,28,01
7087,standard,48,8,00,0B,02,00,00,00,00,00
7111,standard,47,8,10,27,20,4E,20,4E,E8,03
7136,standard,46,8,07,00,10,27,2A,01,28,01
7162,standard,43,6,76,00,1E,00,97,00,28,01
7186,standard,42,8,00,00,00,00,00,00,02,01
7211,standard,48,8,00,0B,02,00,00,00,00,00
7235,standard,47,8,10,27,20,4E,20,4E,E8,03
7259,standard,46,8,07,00,10,27,2A,01,28,01
7283,standard,100,3,00,00,00,27,2A,01,28,01
7307,standard,48,8,00,0B,02,00,00,00,00,00
7332,standard,47,8,10,27,20,4E,20,4E,E8,03
7356,standard,46,8,07,00,10,27,2A,01,28,01
7380,standard,43,6,76,00,1E,00,97,00,28,01
7407,standard,48,8,00,0B,02,00,00,00,00,00
7431,standard,47,8,10,27,20,4E,20,4E,E8,03
7455,standard,48,8,00,0B,02,00,00,00,00,00
7479,standard,47,8,10,27,20,4E,20,4E,E8,03
7504,standard,48,8,00,0B,02,00,00,00,00,00
7528,standard,47,8,10,27,20,4E,20,4E,E8,03
7552,standard,48,8,00,0B,02,00,00,00,00,00
7576,standard,47,8,10,27,20,4E,20,4E,E8,03
7600,standard,48,8,00,0B,02,00,00,00,00,00
7625,standard,47,8,10,27,20,4E,20,4E,E8,03
7649,standard,48,8,00,0B,02,00,00,00,00,00
7675,standard,47,8,10,27,20,4E,20,4E,E8,03
7700,standard,48,8,00,0B,02,00,00,00,00,00
7724,standard,47,8,10,27,20,4E,20,4E,E8,03
7748,standard,48,8,00,0B,02,00,00,00,00,00
7772,standard,47,8,10,27,20,4E,20,4E,E8,03
7797,standard,48,8,00,0B,02,00,00,00,00,00
7821,standard,47,8,10,27,20,4E,20,4E,E8,03
7845,standard,48,8,00,0B,02,00,00,00,00,00
7869,standard,47,8,10,27,20,4E,20,4E,E8,03
7894,standard,43,6,76,00,1E,00,97,00,2C,01
7920,standard,48,8,00,0B,02,00,00,00,00,00
7944,standard,100,3,00,00,00,27,2C,01,2C,01
7969,standard,48,8,00,0B,02,00,00,00,00,00
7993,standard,43,6,76,00,1E,00,97,00,2C,01
8017,standard,48,8,00,0B,02,00,00,00,00,00
8041,standard,100,3,00,00,00,27,2C,01,2B,01
8065,standard,48,8,00,0B,02,00,00,00,00,00
8090,standard,46,8,07,00,10,27,2C,01,2B,01
8114,standard,48,8,00,0B,02,00,00,00,00,00
8138,standard,46,8,06,00,10,27,2C,01,2B,01
8163,standard,48,8,00,0B,02,00,00,00,00,00
8189,standard,46,8,06,00,10,27,2C,01,2B,01
8213,standard,48,8,00,0B,02,00,00,00,00,00
8237,standard,46,8,0A,00,10,27,28,01,30,01
8262,standard,48,8,00,0B,02,00,00,00,00,00
8286,standard,46,8,07,00,10,27,28,01,30,01
8310,standard,48,8,00,0B,02,00,00,00,00,00
8334,standard,46,8,09,00,10,27,28,01,3C,01
8359,standard,48,8,00,0B,02,00,00,00,00,00
8392,standard,46,8,07,00,10,27,28,01,3C,01
8423,standard,48,8,00,0B,02,00,00,00,00,00
