#datatype measurement,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#group false,false,false,false,false,false,false,false,false,false,false,false,false,false
#default _result,,,,,,,,,,,,,
tempoDoSistema,power,motor_power,torque,motor_rpm,voltage,motor_temp,controller_temp,accelerator,ready_to_drive,torque_request_disable,test_mode,regen_request,brake
6.943,0,0,-1000.0,-1000,1.5,32.2,32.3,0.0,0,1,1,0,0
7.048,0,0,-1000.0,-1000,1.5,32.2,32.3,0.0,0,1,1,0,0
7.196,0,0,-1000.0,-1000,1.0,32.2,32.3,0.0,0,1,1,0,0
7.368,0,0,-1000.0,-1000,1.0,32.3,32.3,0.0,0,1,1,0,0
7.493,0,0,-1000.0,-1000,0.9,32.2,32.3,0.0,0,1,1,0,0
7.642,0,0,-1000.0,-1000,0.8,32.2,32.3,0.0,0,1,1,0,0
7.746,0,0,-1000.0,-1000,0.9,32.2,32.3,0.0,0,1,1,0,0
7.895,0,0,-1000.0,-1000,0.9,32.2,32.3,0.0,0,1,1,0,0
8.044,0,0,-1000.0,-1000,1.0,32.3,32.3,0.0,0,1,1,0,0
8.446,0,0,-1000.0,-1000,1.0,32.3,32.0,0.0,0,1,1,0,0
8.608,0,0,-1000.0,-1000,0.9,32.2,32.0,0.0,0,1,1,0,0
9.744,0,0,-1000.0,-1000,1.0,32.5,32.0,0.0,0,1,1,0,0
9.802,0,0,-1000.0,-1000,1.0,32.5,32.0,0.0,0,1,1,0,0
9.864,0,0,-1000.0,-1000,1.0,32.5,32.0,0.0,0,1,1,0,0
9.906,0,0,-1000.0,-1000,1.0,32.5,32.0,0.0,0,1,1,0,0
9.948,0,0,-1000.0,-1000,1.0,32.5,32.0,0.0,0,1,1,0,0
10.034,0,0,-1000.0,-1000,0.9,32.5,32.1,0.0,0,1,1,0,0
10.076,0,0,-1000.0,-1000,0.9,32.5,32.1,0.0,0,1,1,0,0
10.139,0,0,-1000.0,-1000,0.9,32.5,32.1,0.0,0,1,1,0,0
10.18,0,0,-1000.0,-1000,0.9,32.5,32.3,0.0,0,1,1,0,0
10.287,0,0,-1000.0,-1000,0.8,32.5,32.3,0.0,0,1,1,0,0
10.329,0,0,-1000.0,-1000,0.8,32.5,32.3,0.0,0,1,1,0,0
10.436,0,0,-1000.0,-1000,0.8,32.5,32.3,0.0,0,1,1,0,0
10.478,0,0,-1000.0,-1000,0.8,32.5,32.3,0.0,0,1,1,0,0
