tempoDoSistema,power,motor_power,torque,motor_rpm,current,inverter_temp,motor_temp,accelerator,ready_to_drive
32.513,0.0,0.0,0.0,0.0,0.0,28.5,31.8,0.0,0
32.611,0.0,0.0,0.0,0.0,0.0,28.5,31.9,0.0,0
32.709,0.0,0.0,0.0,0.0,0.0,28.5,31.9,0.0,0
32.809,0.0,0.0,0.0,0.0,0.0,28.5,31.9,0.0,0
32.906,0.0,0.0,0.0,0.0,0.0,28.5,31.9,0.0,0
33.563,0.0,0.0,0.0,0.0,0.0,28.5,31.5,0.0,0
33.661,0.0,0.0,0.0,0.0,0.0,28.5,31.5,0.0,0
33.758,0.0,0.0,0.0,0.0,0.0,28.5,31.6,0.0,0
33.859,0.0,0.0,0.0,0.0,0.0,28.5,31.6,0.0,0
33.956,0.0,0.0,0.0,0.0,0.0,28.5,31.6,0.0,0
34.054,0.0,0.0,0.0,0.0,0.0,28.5,31.6,0.0,0
34.154,0.0,0.0,0.0,0.0,0.0,28.5,31.6,0.0,0
34.252,0.0,0.0,0.0,0.0,0.0,28.5,31.6,0.0,0
34.807,0.0,0.0,0.0,0.0,0.0,28.5,31.8,0.0,0
34.905,0.0,0.0,0.0,0.0,0.0,28.6,31.8,0.0,0
35.002,0.0,0.0,0.0,0.0,0.0,28.6,31.8,0.0,0
35.109,0.0,0.0,0.0,0.0,0.0,28.6,31.8,0.0,0
35.222,0.0,0.0,0.0,0.0,0.0,28.5,31.8,0.0,0
35.32,0.0,0.0,0.0,0.0,0.0,28.5,31.8,0.0,0
35.55,0.0,0.0,0.0,0.0,0.0,28.5,31.8,0.0,0
35.648,0.0,0.0,0.0,0.0,0.0,28.5,31.8,0.0,0
35.745,0.0,0.0,0.0,0.0,0.0,28.6,31.8,0.0,0
35.853,0.0,0.0,0.0,0.0,0.0,28.6,31.8,0.0,0
36.353,0.0,0.0,0.0,0.0,0.0,28.5,31.6,0.0,0
36.45,0.0,0.0,0.0,0.0,0.0,28.5,31.6,0.0,0
36.55,0.0,0.0,0.0,0.0,0.0,28.6,31.6,0.0,0
36.647,0.0,0.0,0.0,0.0,0.0,28.6,31.6,0.0,0
36.745,0.0,0.0,0.0,0.0,0.0,28.6,31.6,0.0,0
36.845,0.0,0.0,0.0,0.0,0.0,28.6,31.6,0.0,0
36.943,0.0,0.0,0.0,0.0,0.0,28.6,31.6,0.0,0
37.696,0.0,0.0,0.0,0.0,0.0,28.5,31.6,0.0,0
37.794,0.0,0.0,0.0,0.0,0.0,28.5,31.6,0.0,0
37.894,0.0,0.0,0.0,0.0,0.0,28.5,31.6,0.0,0
38.965,0.0,0.0,0.0,0.0,0.0,28.5,31.5,0.0,0
39.062,0.0,0.0,0.0,0.0,1.1000000000000227,28.5,31.6,0.0,0
39.16,67.0,-1.0,2.2000000000000455,,1.1000000000000227,28.5,31.6,0.0,0
39.39,649.0,4.0,20.0,2.0,1.1000000000000227,28.5,31.6,0.0,0
39.488,848.0,-2.0,26.5,,1.1000000000000227,28.5,31.6,0.0,0
39.588,1184.0,35.0,34.799999999999955,9.0,12.600000000000023,28.5,31.8,0.0,0
39.685,1440.0,15.0,37.09999999999991,4.0,12.600000000000023,28.5,31.8,0.0,0
39.783,1857.0,106.0,38.09999999999991,26.0,12.600000000000023,28.5,31.8,0.0,0
39.891,1948.0,89.0,38.200000000000045,22.0,12.600000000000023,28.5,31.8,0.0,0
39.989,2058.0,106.0,36.40000000000009,27.0,13.200000000000045,28.5,31.8,0.0,0
40.2,2114.0,249.0,30.799999999999955,77.0,14.399999999999977,28.5,31.6,0.0,0
40.303,2114.0,332.0,29.90000000000009,106.0,14.399999999999977,28.5,31.6,0.0,0
40.44,2279.0,423.0,28.299999999999955,142.0,14.399999999999977,28.5,31.6,0.0,0
40.539,2223.0,436.0,27.200000000000045,153.0,14.399999999999977,28.5,31.6,0.0,0
40.639,2361.0,534.0,28.90000000000009,175.0,14.399999999999977,28.5,31.6,0.0,0
40.736,2335.0,558.0,27.299999999999955,194.0,14.399999999999977,28.5,31.6,0.0,0
40.834,2469.0,652.0,28.59999999999991,217.0,17.5,28.5,31.8,0.0,0
40.935,2370.0,604.0,25.5,226.0,17.5,28.5,31.8,0.0,0
41.033,2507.0,718.0,28.200000000000045,242.0,17.5,28.5,31.8,0.0,0
41.132,2524.0,763.0,28.200000000000045,258.0,17.5,28.5,31.8,0.0,0
41.23,2565.0,749.0,25.799999999999955,277.0,17.5,28.5,31.8,0.0,0
41.332,2492.0,804.0,25.200000000000045,304.0,17.5,28.5,31.8,0.0,0
41.436,2525.0,833.0,24.59999999999991,322.0,17.5,28.5,31.8,0.0,0
41.534,2645.0,910.0,26.200000000000045,331.0,17.5,28.5,31.8,0.0,0
41.634,2686.0,945.0,26.09999999999991,345.0,17.5,28.5,31.9,0.0,0
41.732,2739.0,1056.0,26.799999999999955,375.0,17.5,28.5,31.9,0.0,0
41.83,2511.0,984.0,25.200000000000045,372.0,17.5,28.5,31.9,0.0,0
41.928,2888.0,1174.0,27.799999999999955,402.0,17.399999999999977,28.5,31.9,0.0,0
42.03,2765.0,1142.0,26.5,411.0,17.399999999999977,28.5,31.9,0.0,0
42.127,2752.0,1141.0,25.200000000000045,432.0,17.399999999999977,28.5,31.9,0.0,0
42.225,2632.0,1127.0,24.299999999999955,442.0,17.399999999999977,28.5,31.9,0.0,0
42.331,2633.0,1157.0,24.0,458.0,17.0,28.5,31.8,0.0,0
42.429,2802.0,1170.0,23.100000000000023,483.0,17.0,28.5,31.8,0.0,0
42.527,2907.0,1272.0,25.0,484.0,18.899999999999977,28.5,31.8,0.0,0
42.628,2859.0,1211.0,23.399999999999977,494.0,17.899999999999977,28.5,31.9,0.0,0
42.726,2803.0,1267.0,23.700000000000045,509.0,17.899999999999977,28.5,31.9,0.0,0
42.832,2802.0,1370.0,24.799999999999955,526.0,19.100000000000023,28.5,31.8,0.0,0
42.943,2727.0,1233.0,21.600000000000023,545.0,19.100000000000023,28.5,31.8,0.0,0
43.039,2416.0,1166.0,20.100000000000023,552.0,17.100000000000023,28.5,31.8,0.0,0
43.137,2449.0,1113.0,18.5,571.0,17.100000000000023,28.5,31.8,0.0,0
43.267,2370.0,1136.0,18.399999999999977,587.0,18.0,28.5,31.9,0.0,0
43.669,2493.0,1251.0,19.799999999999955,600.0,591.0999999999999,,,0.0,0
43.767,1164.0,,,,16.899999999999977,28.5,31.8,0.0,0
44.389,1739.0,759.0,11.5,628.0,13.0,28.5,31.8,0.0,0
44.718,1801.0,734.0,11.299999999999955,617.0,12.899999999999977,28.5,31.6,0.0,0
44.816,2167.0,904.0,14.299999999999955,602.0,12.600000000000023,28.5,31.8,0.0,0
44.914,1844.0,670.0,10.600000000000023,600.0,12.600000000000023,28.5,31.8,0.0,0
45.012,1928.0,884.0,14.100000000000023,598.0,13.100000000000023,28.5,31.9,0.0,0
45.111,1907.0,760.0,12.100000000000023,598.0,12.899999999999977,28.5,31.9,0.0,0
45.71,1982.0,744.0,12.399999999999977,571.0,13.100000000000023,28.5,32.1,0.0,0
46.265,1874.0,701.0,12.100000000000023,549.0,11.299999999999955,28.5,32.3,0.0,0
46.37,1704.0,657.0,11.299999999999955,555.0,11.299999999999955,28.5,32.3,0.0,0
46.47,2008.0,735.0,12.799999999999955,548.0,13.200000000000045,28.5,32.4,0.0,0
46.569,1627.0,628.0,10.799999999999955,552.0,13.200000000000045,28.5,32.4,0.0,0
46.888,1708.0,650.0,11.100000000000023,555.0,10.700000000000045,28.5,32.4,0.0,0
46.986,1844.0,728.0,12.799999999999955,542.0,8.100000000000023,28.5,32.3,0.0,0
47.518,903.0,-57.0,-1.1000000000000227,494.0,6.399999999999977,28.6,32.3,0.0,0
47.616,959.0,-68.0,-1.3999999999999773,485.0,6.5,28.6,32.3,0.0,0
48.009,1062.0,92.0,2.0,430.0,6.5,28.6,32.3,0.0,0
48.208,1076.0,71.0,1.6000000000000227,411.0,6.600000000000023,28.6,32.4,0.0,0
48.306,1029.0,28.0,0.6000000000000227,401.0,6.600000000000023,28.6,32.4,0.0,0
49.15,1076.0,75.0,2.2999999999999545,303.0,8.100000000000023,28.5,32.5,0.0,0
49.247,1422.0,291.0,9.200000000000045,300.0,8.600000000000023,28.5,32.3,0.0,0
49.351,1349.0,248.0,7.899999999999977,298.0,8.0,28.5,32.3,0.0,0
49.647,1323.0,246.0,8.5,275.0,8.399999999999977,28.6,32.4,0.0,0
49.745,1278.0,144.0,5.100000000000023,269.0,7.5,28.5,32.5,0.0,0
49.845,1136.0,124.0,4.399999999999977,266.0,8.399999999999977,28.5,32.7,0.0,0
49.942,1243.0,136.0,5.0,256.0,8.0,28.5,32.7,0.0,0
50.408,1252.0,115.0,4.7999999999999545,226.0,7.7999999999999545,28.6,32.5,0.0,0
50.627,1129.0,25.0,1.2000000000000455,201.0,7.2000000000000455,28.6,33.1,0.0,0
51.685,0.0,0.0,0.2999999999999545,21.0,0.0,28.6,33.1,0.0,1
51.782,0.0,0.0,0.2999999999999545,21.0,0.0,28.6,33.2,0.0,1
52.143,0.0,0.0,0.2999999999999545,21.0,0.0,28.6,32.9,0.0,1
52.243,0.0,0.0,0.2999999999999545,21.0,0.0,28.6,32.9,0.0,1
52.348,0.0,0.0,0.2999999999999545,21.0,0.0,28.6,32.9,0.0,1
52.446,0.0,0.0,0.2999999999999545,21.0,0.0,28.6,32.9,0.0,1
52.547,0.0,0.0,0.2999999999999545,21.0,0.0,28.6,32.9,0.0,1
52.644,0.0,0.0,0.2999999999999545,21.0,0.0,28.7,33.0,0.0,1
52.757,0.0,0.0,0.2999999999999545,21.0,0.0,28.7,33.0,0.0,1
52.855,0.0,0.0,0.2999999999999545,21.0,0.0,28.7,33.0,0.0,1
52.955,0.0,0.0,0.2999999999999545,21.0,0.0,28.7,33.0,0.0,1
53.086,0.0,0.0,0.2999999999999545,21.0,0.0,28.7,33.0,0.0,1
53.184,0.0,0.0,0.2999999999999545,21.0,0.0,28.7,33.0,0.0,1
53.284,0.0,0.0,0.2999999999999545,21.0,0.0,28.7,33.1,0.0,1
53.388,0.0,0.0,0.2999999999999545,21.0,0.0,28.7,33.1,0.0,1
53.586,0.0,0.0,0.2999999999999545,21.0,0.0,28.7,33.1,0.0,1
53.684,0.0,0.0,0.2999999999999545,21.0,0.0,28.7,33.1,0.0,1
53.782,0.0,0.0,0.2999999999999545,21.0,0.0,28.7,33.2,0.0,1
53.88,0.0,0.0,0.2999999999999545,21.0,0.0,28.7,33.2,0.0,1
53.98,0.0,0.0,0.2999999999999545,21.0,0.0,28.7,33.4,0.0,1
54.078,0.0,0.0,0.2999999999999545,21.0,0.0,28.7,33.4,0.0,1
54.925,0.0,0.0,0.2999999999999545,21.0,0.0,28.7,33.7,0.0,1
55.025,0.0,0.0,0.2999999999999545,21.0,0.0,28.6,33.8,0.0,1
55.588,0.0,0.0,0.2999999999999545,21.0,0.0,28.7,33.6,0.0,1
56.18,0.0,0.0,0.2999999999999545,21.0,0.0,28.7,33.7,0.0,1
56.277,0.0,0.0,0.2999999999999545,21.0,0.0,28.7,33.7,0.0,1
56.384,0.0,0.0,0.2999999999999545,21.0,0.0,28.6,33.6,0.0,1
56.482,0.0,0.0,0.2999999999999545,21.0,0.0,28.6,33.6,0.0,1
56.58,0.0,0.0,0.2999999999999545,21.0,0.0,28.6,33.6,0.0,1
56.875,0.0,0.0,0.2999999999999545,21.0,0.0,28.6,33.6,0.0,1
