tempoDoSistema,frameType,msgId,DLC,data0,data1,data2,data3,data4,data5,data6,data7
6975,standard,47,8,10,27,20,4E,20,4E,E8,03
7011,standard,46,8,03,00,10,27,A9,13,8E,01
7043,standard,100,3,00,00,00,27,A9,13,8E,01
7070,standard,48,8,00,0B,02,00,00,00,00,00
7098,standard,47,8,10,27,20,4E,20,4E,E8,03
7125,standard,46,8,04,00,10,27,A9,13,8E,01
7153,standard,43,6,76,00,25,00,95,00,8E,01
7180,standard,42,8,00,00,00,00,00,00,00,01
7207,standard,48,8,00,0B,02,00,00,00,00,00
7235,standard,47,8,10,27,20,4E,20,4E,E8,03
7262,standard,46,8,03,00,10,27,A9,13,8E,01
7290,standard,100,3,00,00,00,27,A9,13,8E,01
7317,standard,48,8,00,0B,02,00,00,00,00,00
7347,standard,47,8,10,27,20,4E,20,4E,E8,03
7374,standard,46,8,03,00,10,27,A9,13,8E,01
7402,standard,43,6,76,00,25,00,95,00,8E,01
7429,standard,48,8,00,0B,02,00,00,00,00,00
7457,standard,46,8,03,00,10,27,A9,13,8E,01
7484,standard,48,8,00,0B,02,00,00,00,00,00
7511,standard,43,6,76,00,25,00,95,00,8E,01
7539,standard,48,8,00,0B,02,00,00,00,00,00
7566,standard,100,3,00,00,00,27,A9,13,8E,01
7594,standard,47,8,10,27,20,4E,20,4E,E8,03
7624,standard,43,6,76,00,25,00,95,00,8E,01
7651,standard,46,8,03,00,10,27,A9,13,8E,01
7678,standard,48,8,00,0B,02,00,00,00,00,00
7706,standard,46,8,03,00,10,27,A9,13,8E,01
7733,standard,48,8,00,0B,02,00,00,00,00,00
7761,standard,100,3,00,00,00,27,A9,13,8E,01
7788,standard,48,8,00,0B,02,00,00,00,00,00
7816,standard,43,6,76,00,26,00,95,00,8E,01
7843,standard,47,8,10,27,20,4E,20,4E,E8,03
7871,standard,100,3,00,00,00,27,A9,13,8E,01
7898,standard,47,8,10,27,20,4E,20,4E,E8,03
7928,standard,42,8,00,00,00,00,00,00,00,01
7955,standard,46,8,03,00,10,27,A9,13,8E,01
7983,standard,48,8,00,0B,02,00,00,00,00,00
8010,standard,46,8,03,00,10,27,A9,13,8E,01
8038,standard,48,8,00,0B,02,00,00,00,00,00
8065,standard,100,3,00,00,00,27,A9,13,8E,01
8092,standard,47,8,10,27,20,4E,20,4E,E8,03
8120,standard,43,6,76,00,26,00,95,00,8E,01
8147,standard,47,8,10,27,20,4E,20,4E,E8,03
8175,standard,100,3,00,00,00,27,A9,13,8E,01
8205,standard,46,8,03,00,10,27,A9,13,8E,01
8232,standard,48,8,00,0B,02,00,00,00,00,00
8259,standard,46,8,04,00,10,27,A9,13,8E,01
8287,standard,48,8,00,0B,02,00,00,00,00,00
8314,standard,43,6,76,00,26,00,95,00,8E,01
8342,standard,48,8,00,0B,02,00,00,00,00,00
8369,standard,100,3,00,00,00,27,A9,13,8E,01
8396,standard,47,8,10,27,20,4E,20,4E,E8,03
8424,standard,43,6,76,00,26,00,95,00,8E,01
8451,standard,47,8,10,27,20,4E,20,4E,E8,03
8479,standard,48,8,00,0B,02,00,00,00,00,00
8517,standard,46,8,04,00,10,27,A9,13,8E,01
8551,standard,48,8,00,0B,02,00,00,00,00,00
8589,standard,100,3,00,00,00,27,A9,13,8E,01
8629,standard,48,8,00,0B,02,00,00,00,00,00
8656,standard,43,6,76,00,26,00,95,00,8F,01
8684,standard,47,8,10,27,20,4E,20,4E,E8,03
8711,standard,100,3,00,00,00,27,A9,13,8F,01
8739,standard,47,8,10,27,20,4E,20,4E,E8,03
8766,standard,43,6,76,00,26,00,95,00,8F,01
8793,standard,46,8,04,00,10,27,A9,13,8F,01
8823,standard,47,8,10,27,20,4E,20,4E,E8,03
8851,standard,43,6,76,00,26,00,95,00,8F,01
8878,standard,100,3,00,00,00,27,A9,13,8F,01
8905,standard,46,8,04,00,10,27,A9,13,8F,01
8933,standard,48,8,00,0B,02,00,00,00,00,00
8960,standard,46,8,03,00,10,27,A9,13,8F,01
8988,standard,48,8,00,0B,02,00,00,00,00,00
9015,standard,43,6,76,00,26,00,95,00,8F,01
9042,standard,48,8,00,0B,02,00,00,00,00,00
9070,standard,100,3,00,00,00,27,A9,13,8F,01
9107,standard,47,8,10,27,20,4E,20,4E,E8,03
9134,standard,43,6,76,00,26,00,95,00,8F,01
