tempoDoSistema,frameType,msgId,DLC,data0,data1,data2,data3,data4,data5,data6,data7
6973,standard,48,8,00,0B,02,00,00,00,00,00
7009,standard,47,8,10,27,20,4E,20,4E,E8,03
7039,standard,46,8,05,00,10,27,01,01,11,01
7066,standard,100,3,00,00,00,27,01,01,11,01
7093,standard,48,8,00,0B,02,00,00,00,00,00
7120,standard,47,8,10,27,20,4E,20,4E,E8,03
7149,standard,46,8,05,00,10,27,01,01,11,01
7176,standard,43,6,76,00,1E,00,97,00,11,01
7203,standard,42,8,3D,0D,00,00,00,00,01,01
7230,standard,48,8,00,0B,02,00,00,00,00,00
7258,standard,47,8,10,27,20,4E,20,4E,E8,03
7285,standard,46,8,05,00,10,27,01,01,11,01
7312,standard,100,3,00,00,00,27,01,01,11,01
7339,standard,48,8,00,0B,02,00,00,00,00,00
7366,standard,47,8,10,27,20,4E,20,4E,E8,03
7393,standard,46,8,05,00,10,27,01,01,11,01
7422,standard,43,6,76,00,1E,00,97,00,11,01
7449,standard,47,8,10,27,20,4E,20,4E,E8,03
7476,standard,48,8,00,0B,02,00,00,00,00,00
7503,standard,47,8,10,27,20,4E,20,4E,E8,03
7530,standard,48,8,00,0B,02,00,00,00,00,00
7557,standard,46,8,06,00,10,27,01,01,10,01
7584,standard,48,8,00,0B,02,00,00,00,00,00
7611,standard,46,8,05,00,10,27,01,01,10,01
7638,standard,48,8,00,0B,02,00,00,00,00,00
7665,standard,100,3,00,00,00,27,02,01,10,01
7695,standard,47,8,10,27,20,4E,20,4E,E8,03
7722,standard,43,6,76,00,1E,00,97,00,10,01
7749,standard,47,8,10,27,20,4E,20,4E,E8,03
7776,standard,48,8,00,0B,02,00,00,00,00,00
7803,standard,47,8,10,27,20,4E,20,4E,E8,03
7830,standard,48,8,00,0B,02,00,00,00,00,00
7857,standard,46,8,05,00,10,27,03,01,19,01
7884,standard,48,8,00,0B,02,00,00,00,00,00
7911,standard,46,8,05,00,10,27,03,01,19,01
7938,standard,48,8,00,0B,02,00,00,00,00,00
7966,standard,100,3,00,00,00,27,02,01,16,01
7995,standard,47,8,10,27,20,4E,20,4E,E8,03
8022,standard,43,6,76,00,1E,00,97,00,16,01
8049,standard,47,8,10,27,20,4E,20,4E,E8,03
8076,standard,48,8,00,0B,02,00,00,00,00,00
8103,standard,47,8,10,27,20,4E,20,4E,E8,03
8130,standard,48,8,00,0B,02,00,00,00,00,00
8157,standard,46,8,05,00,10,27,03,01,16,01
8184,standard,48,8,00,0B,02,00,00,00,00,00
8211,standard,46,8,05,00,10,27,03,01,16,01
8238,standard,48,8,00,0B,02,00,00,00,00,00
8268,standard,100,3,00,00,00,27,04,01,15,01
8295,standard,47,8,10,27,20,4E,20,4E,E8,03
8322,standard,43,6,76,00,1E,00,97,00,15,01
8349,standard,47,8,10,27,20,4E,20,4E,E8,03
8376,standard,48,8,00,0B,02,00,00,00,00,00
8403,standard,46,8,05,00,10,27,05,01,15,01
8430,standard,48,8,00,0B,02,00,00,00,00,00
8457,standard,46,8,05,00,10,27,04,01,12,01
8484,standard,48,8,00,0B,02,00,00,00,00,00
8511,standard,46,8,06,00,10,27,04,01,12,01
8538,standard,48,8,00,0B,02,00,00,00,00,00
8568,standard,100,3,00,00,00,27,04,01,12,01
8595,standard,47,8,10,27,20,4E,20,4E,E8,03
8622,standard,43,6,76,00,1E,00,97,00,12,01
8649,standard,47,8,10,27,20,4E,20,4E,E8,03
8676,standard,48,8,00,0B,02,00,00,00,00,00
8703,standard,46,8,05,00,10,27,07,01,0E,01
8730,standard,48,8,00,0B,02,00,00,00,00,00
8757,standard,46,8,06,00,10,27,05,01,EB,00
8784,standard,48,8,00,0B,02,00,00,00,00,00
8811,standard,43,6,76,00,1E,00,97,00,EB,00
8840,standard,47,8,10,27,20,4E,20,4E,E8,03
8867,standard,100,3,00,00,00,27,05,01,EA,00
8894,standard,47,8,10,27,20,4E,20,4E,E8,03
8921,standard,43,6,76,00,1E,00,97,00,EA,00
8948,standard,47,8,10,27,20,4E,20,4E,E8,03
8975,standard,48,8,00,0B,02,00,00,00,00,00
9002,standard,46,8,05,00,10,27,05,01,EB,00
9029,standard,48,8,00,0B,02,00,00,00,00,00
9056,standard,46,8,05,00,10,27,05,01,EB,00
9084,standard,48,8,00,0B,02,00,00,00,00,00
9111,standard,43,6,76,00,1E,00,97,00,EB,00
9140,standard,47,8,10,27,20,4E,20,4E,E8,03
9167,standard,100,3,00,00,00,27,05,01,EA,00
9194,standard,47,8,10,27,20,4E,20,4E,E8,03
9221,standard,43,6,76,00,1E,00,97,00,EA,00
9248,standard,47,8,10,27,20,4E,20,4E,E8,03
9275,standard,48,8,00,0B,02,00,00,00,00,00
9302,standard,46,8,05,00,10,27,04,01,E9,00
9329,standard,48,8,00,0B,02,00,00,00,00,00
9366,standard,46,8,05,00,10,27,05,01,E9,00
9405,standard,48,8,00,0B,02,00,00,00,00,00
9442,standard,43,6,76,00,1E,00,97,00,E9,00
9469,standard,47,8,10,27,20,4E,20,4E,E8,03
9496,standard,100,3,00,00,00,27,05,01,E9,00
9523,standard,47,8,10,27,20,4E,20,4E,E8,03
9550,standard,43,6,76,00,1E,00,97,00,E9,00
9577,standard,46,8,05,00,10,27,06,01,E9,00
9604,standard,100,3,00,00,00,27,06,01,E9,00
9631,standard,46,8,05,00,10,27,06,01,E9,00
9658,standard,47,8,10,27,20,4E,20,4E,E8,03
9685,standard,48,8,00,0B,02,00,00,00,00,00
9712,standard,43,6,76,00,1E,00,97,00,E9,00
9741,standard,47,8,10,27,20,4E,20,4E,E8,03
9768,standard,100,3,00,00,00,27,04,01,E9,00
9795,standard,47,8,10,27,20,4E,20,4E,E8,03
9822,standard,43,6,76,00,1E,00,97,00,E9,00
9849,standard,46,8,05,00,10,27,04,01,E7,00
9876,standard,48,8,00,0B,02,00,00,00,00,00
9904,standard,46,8,05,00,10,27,04,01,E7,00
9931,standard,48,8,00,0B,02,00,00,00,00,00
9958,standard,100,3,00,00,00,27,05,01,EA,00
9985,standard,48,8,00,0B,02,00,00,00,00,00
10014,standard,43,6,76,00,1E,00,97,00,EA,00
10041,standard,47,8,10,27,20,4E,20,4E,E8,03
10068,standard,100,3,00,00,00,27,05,01,E7,00
10095,standard,47,8,10,27,20,4E,20,4E,E8,03
10122,standard,43,6,76,00,1E,00,97,00,E7,00
10149,standard,46,8,05,00,10,27,05,01,E7,00
10176,standard,48,8,00,0B,02,00,00,00,00,00
10203,standard,46,8,05,00,10,27,05,01,E7,00
10230,standard,48,8,00,0B,02,00,00,00,00,00
10257,standard,100,3,00,00,00,27,03,01,D6,00
10287,standard,47,8,10,27,20,4E,20,4E,E8,03
10313,standard,43,6,76,00,1E,00,97,00,D6,00
10341,standard,47,8,10,27,20,4E,20,4E,E8,03
10377,standard,100,3,00,00,00,27,03,01,D8,00
10413,standard,46,8,05,00,10,27,03,01,D8,00
10440,standard,43,6,76,00,1E,00,97,00,D8,00
10467,standard,46,8,05,00,10,27,03,01,D8,00
10494,standard,100,3,00,00,00,27,03,01,D8,00
10521,standard,46,8,06,00,10,27,03,01,D8,00
10548,standard,48,8,00,0B,02,00,00,00,00,00
10575,standard,100,3,00,00,00,27,03,01,D8,00
10605,standard,47,8,10,27,20,4E,20,4E,E8,03
10632,standard,43,6,76,00,1E,00,97,00,D8,00
10659,standard,46,8,05,00,10,27,03,01,D6,00
10686,standard,47,8,10,27,20,4E,20,4E,E8,03
10713,standard,43,6,76,00,1E,00,97,00,D6,00
10740,standard,47,8,10,27,20,4E,20,4E,E8,03
10767,standard,100,3,00,00,00,27,03,01,D6,00
10794,standard,46,8,05,00,10,27,03,01,D6,00
10821,standard,43,6,76,00,1E,00,97,00,D6,00
10848,standard,46,8,05,00,10,27,03,01,D9,00
