tempoDoSistema,frameType,msgId,DLC,data0,data1,data2,data3,data4,data5,data6,data7
6993,standard,46,8,05,00,10,27,65,01,3E,01
7031,standard,100,3,00,08,00,27,65,01,3E,01
7063,standard,48,8,00,0B,06,00,00,00,00,00
7093,standard,47,8,10,27,20,4E,20,4E,E8,03
7125,standard,46,8,04,00,10,27,65,01,3E,01
7154,standard,43,6,76,00,26,00,9B,00,3E,01
7183,standard,42,8,00,00,8A,29,00,00,00,01
7213,standard,48,8,00,0B,06,00,00,00,00,00
7242,standard,47,8,10,27,20,4E,20,4E,E8,03
7272,standard,46,8,05,00,10,27,65,01,3E,01
7301,standard,100,3,00,08,00,27,65,01,3E,01
7331,standard,48,8,00,0B,06,00,00,00,00,00
7360,standard,47,8,10,27,20,4E,20,4E,E8,03
7390,standard,46,8,04,00,10,27,65,01,3E,01
7421,standard,43,6,76,00,26,00,9B,00,3E,01
7451,standard,48,8,00,0B,06,00,00,00,00,00
7480,standard,100,3,00,08,00,27,65,01,3E,01
7510,standard,47,8,10,27,20,4E,20,4E,E8,03
7539,standard,43,6,76,00,26,00,9B,00,3E,01
7569,standard,46,8,05,00,10,27,65,01,3E,01
7598,standard,48,8,00,0B,06,00,00,00,00,00
7627,standard,43,6,76,00,26,00,9B,00,3E,01
7666,standard,47,8,10,27,20,4E,20,4E,E8,03
7705,standard,100,3,00,08,00,27,65,01,3E,01
7734,standard,46,8,05,00,10,27,65,01,3E,01
7766,standard,48,8,00,0B,06,00,00,00,00,00
7795,standard,100,3,00,08,00,27,65,01,3E,01
7825,standard,47,8,10,27,20,4E,20,4E,E8,03
7854,standard,43,6,76,00,26,00,9B,00,3E,01
7884,standard,46,8,04,00,10,27,65,01,3E,01
7913,standard,100,3,00,08,00,27,65,01,3E,01
7943,standard,46,8,05,00,10,27,65,01,3E,01
7972,standard,47,8,10,27,20,4E,20,4E,E8,03
8001,standard,48,8,00,0B,06,00,00,00,00,00
8031,standard,43,6,76,00,26,00,9B,00,3E,01
8063,standard,47,8,10,27,20,4E,20,4E,E8,03
8092,standard,100,3,00,08,00,27,65,01,3E,01
8122,standard,46,8,05,00,10,27,65,01,3E,01
8151,standard,48,8,00,0B,06,00,00,00,00,00
8181,standard,100,3,00,08,00,27,65,01,3E,01
8210,standard,47,8,10,27,20,4E,20,4E,E8,03
8239,standard,43,6,76,00,26,00,9B,00,3E,01
8269,standard,46,8,05,00,10,27,65,01,3E,01
8298,standard,48,8,00,0B,06,00,00,00,00,00
8328,standard,43,6,76,00,26,00,9B,00,3E,01
8357,standard,47,8,10,27,20,4E,20,4E,E8,03
8389,standard,100,3,00,08,00,27,65,01,3E,01
8419,standard,46,8,06,00,10,27,65,01,3E,01
8448,standard,42,8,00,00,A5,2C,00,00,00,01
8478,standard,100,3,00,08,00,27,65,01,3E,01
8507,standard,47,8,10,27,20,4E,20,4E,E8,03
8537,standard,43,6,76,00,26,00,9B,00,3E,01
8566,standard,46,8,05,00,10,27,65,01,3E,01
8596,standard,100,3,00,08,00,27,65,01,3E,01
8625,standard,43,6,76,00,26,00,9B,00,3E,01
8655,standard,47,8,10,27,20,4E,20,4E,E8,03
8687,standard,100,3,00,08,00,27,62,01,3E,01
8716,standard,46,8,05,00,10,27,62,01,3E,01
8746,standard,43,6,76,00,26,00,9B,00,3E,01
8775,standard,100,3,00,08,00,27,62,01,3E,01
8805,standard,47,8,10,27,20,4E,20,4E,E8,03
8834,standard,43,6,76,00,26,00,9B,00,3E,01
8864,standard,46,8,05,00,10,27,61,01,3E,01
8893,standard,100,3,00,08,00,27,61,01,3E,01
8923,standard,43,6,76,00,26,00,9B,00,3E,01
8952,standard,47,8,10,27,20,4E,20,4E,E8,03
8982,standard,100,3,00,08,00,27,61,01,3E,01
9013,standard,46,8,05,00,10,27,61,01,3E,01
9043,standard,43,6,76,00,26,00,9B,00,3E,01
9072,standard,100,3,00,08,00,27,62,01,3E,01
9102,standard,47,8,10,27,20,4E,20,4E,E8,03
9131,standard,48,8,00,0B,06,00,00,00,00,00
9161,standard,46,8,05,00,10,27,62,01,3E,01
9190,standard,48,8,00,0B,06,00,00,00,00,00
9220,standard,48,8,00,0B,06,00,00,00,00,00
9249,standard,47,8,10,27,20,4E,20,4E,E8,03
9279,standard,48,8,00,0B,06,00,00,00,00,00
9310,standard,46,8,05,00,10,27,62,01,3E,01
9340,standard,48,8,00,0B,06,00,00,00,00,00
9369,standard,48,8,00,0B,06,00,00,00,00,00
9399,standard,100,3,00,08,00,00,00,00,00,00
9428,standard,48,8,00,0B,06,00,00,00,00,00
9458,standard,46,8,05,00,10,27,63,01,3E,01
9487,standard,48,8,00,0B,06,00,00,00,00,00
9517,standard,48,8,00,0B,06,00,00,00,00,00
9546,standard,43,6,76,00,26,00,9B,00,00,00
9575,standard,48,8,00,0B,06,00,00,00,00,00
9615,standard,46,8,05,00,10,27,62,01,3E,01
9659,standard,48,8,00,0B,06,00,00,00,00,00
9688,standard,48,8,00,0B,06,00,00,00,00,00
9718,standard,100,3,00,08,00,00,00,00,00,00
9747,standard,48,8,00,0B,06,00,00,00,00,00
9777,standard,47,8,10,27,20,4E,20,4E,E8,03
9806,standard,48,8,00,0B,06,00,00,00,00,00
9836,standard,46,8,04,00,10,27,62,01,3E,01
9865,standard,48,8,00,0B,06,00,00,00,00,00
