tempoDoSistema,frameType,msgId,DLC,data0,data1,data2,data3,data4,data5,data6,data7
6993,standard,46,8,05,00,10,27,A2,01,5F,01
7034,standard,100,3,00,00,00,27,A2,01,5F,01
7069,standard,48,8,00,0B,06,00,00,00,00,00
7102,standard,47,8,10,27,20,4E,20,4E,E8,03
7134,standard,46,8,05,00,10,27,A2,01,5F,01
7167,standard,43,6,76,00,26,00,90,00,5F,01
7202,standard,42,8,00,00,00,00,00,00,03,01
7234,standard,48,8,00,0B,06,00,00,00,00,00
7267,standard,47,8,10,27,20,4E,20,4E,E8,03
7299,standard,46,8,04,00,10,27,A2,01,5F,01
7332,standard,100,3,00,00,00,27,A2,01,5F,01
7374,standard,48,8,00,0B,06,00,00,00,00,00
7420,standard,47,8,10,27,20,4E,20,4E,E8,03
7452,standard,46,8,05,00,10,27,A2,01,5F,01
7485,standard,43,6,76,00,26,00,90,00,5F,01
7517,standard,48,8,00,0B,06,00,00,00,00,00
7552,standard,100,3,00,00,00,27,A2,01,5F,01
7585,standard,46,8,04,00,10,27,A2,01,5F,01
7617,standard,48,8,00,0B,06,00,00,00,00,00
7650,standard,100,3,00,00,00,27,A2,01,5F,01
7682,standard,46,8,05,00,10,27,A2,01,5F,01
7715,standard,47,8,10,27,20,4E,20,4E,E8,03
7748,standard,47,8,10,27,20,4E,20,4E,E8,03
7780,standard,43,6,76,00,26,00,90,00,5F,01
7813,standard,46,8,05,00,10,27,A2,01,5F,01
7845,standard,48,8,00,0B,06,00,00,00,00,00
7878,standard,43,6,76,00,26,00,90,00,5F,01
7916,standard,46,8,04,00,10,27,A1,01,5F,01
7948,standard,47,8,10,27,20,4E,20,4E,E8,03
7981,standard,43,6,76,00,26,00,90,00,5F,01
8013,standard,46,8,05,00,10,27,A3,01,61,01
8046,standard,48,8,00,0B,06,00,00,00,00,00
8079,standard,43,6,76,00,26,00,90,00,61,01
8111,standard,46,8,05,00,10,27,A4,01,61,01
8144,standard,48,8,00,0B,06,00,00,00,00,00
8176,standard,43,6,76,00,26,00,90,00,61,01
8209,standard,46,8,05,00,10,27,A4,01,61,01
8244,standard,47,8,10,27,20,4E,20,4E,E8,03
8276,standard,43,6,76,00,26,00,90,00,61,01
8309,standard,46,8,04,00,10,27,A4,01,61,01
8341,standard,48,8,00,0B,06,00,00,00,00,00
8374,standard,43,6,76,00,26,00,90,00,61,01
8406,standard,46,8,04,00,10,27,A4,01,61,01
8439,standard,48,8,00,0B,06,00,00,00,00,00
8472,standard,43,6,76,00,26,00,90,00,61,01
8504,standard,46,8,05,00,10,27,A4,01,61,01
8537,standard,48,8,00,0B,06,00,00,00,00,00
8569,standard,43,6,76,00,26,00,90,00,61,01
8604,standard,46,8,04,00,10,27,A4,01,61,01
8637,standard,48,8,00,0B,06,00,00,00,00,00
8669,standard,43,6,76,00,26,00,90,00,61,01
8702,standard,46,8,05,00,10,27,A4,01,61,01
8734,standard,48,8,00,0B,06,00,00,00,00,00
8767,standard,43,6,76,00,26,00,90,00,61,01
8799,standard,47,8,10,27,20,4E,20,4E,E8,03
8832,standard,48,8,00,0B,06,00,00,00,00,00
8864,standard,43,6,76,00,26,00,90,00,61,01
8897,standard,47,8,10,27,20,4E,20,4E,E8,03
8932,standard,100,3,00,00,00,27,A6,01,61,01
8965,standard,43,6,76,00,26,00,90,00,61,01
8997,standard,47,8,10,27,20,4E,20,4E,E8,03
9030,standard,100,3,00,00,00,27,A6,01,61,01
9062,standard,43,6,76,00,26,00,90,00,61,01
9095,standard,47,8,10,27,20,4E,20,4E,E8,03
9127,standard,100,3,00,00,00,27,A6,01,61,01
9160,standard,43,6,76,00,26,00,90,00,61,01
9192,standard,47,8,10,27,20,4E,20,4E,E8,03
9225,standard,100,3,00,00,00,27,A6,01,61,01
9257,standard,43,6,76,00,26,00,90,00,61,01
9292,standard,47,8,10,27,20,4E,20,4E,E8,03
9325,standard,100,3,00,00,00,27,A6,01,61,01
9358,standard,46,8,05,00,10,27,A6,01,61,01
9390,standard,47,8,10,27,20,4E,20,4E,E8,03
9423,standard,100,3,00,00,00,27,A7,01,61,01
9455,standard,46,8,04,00,10,27,A7,01,61,01
9488,standard,47,8,10,27,20,4E,20,4E,E8,03
9520,standard,100,3,00,00,00,27,A4,01,5F,01
9553,standard,46,8,04,00,10,27,A4,01,5F,01
9585,standard,48,8,00,0B,06,00,00,00,00,00
9620,standard,100,3,00,00,00,27,A4,01,61,01
9653,standard,46,8,04,00,10,27,A4,01,61,01
9685,standard,48,8,00,0B,06,00,00,00,00,00
9718,standard,100,3,00,00,00,27,A4,01,61,01
9750,standard,46,8,04,00,10,27,A4,01,61,01
9783,standard,43,6,76,00,26,00,90,00,61,01
9815,standard,100,3,00,00,00,27,A4,01,61,01
9848,standard,46,8,04,00,10,27,A4,01,61,01
