tempoDoSistema,frameType,msgId,DLC,data0,data1,data2,data3,data4,data5,data6,data7
6974,standard,47,8,10,27,20,4E,20,4E,E8,03
7009,standard,46,8,04,00,10,27,A9,13,8E,01
7039,standard,100,3,00,00,00,27,A9,13,8E,01
7066,standard,48,8,00,0B,02,00,00,00,00,00
7093,standard,47,8,10,27,20,4E,20,4E,E8,03
7121,standard,46,8,05,00,10,27,A9,13,8E,01
7148,standard,43,6,76,00,26,00,94,00,8E,01
7175,standard,42,8,00,00,00,00,00,00,00,01
7202,standard,48,8,00,0B,02,00,00,00,00,00
7229,standard,47,8,10,27,20,4E,20,4E,E8,03
7259,standard,46,8,04,00,10,27,A9,13,8E,01
7286,standard,100,3,00,00,00,27,A9,13,8E,01
7313,standard,48,8,00,0B,02,00,00,00,00,00
7341,standard,47,8,10,27,20,4E,20,4E,E8,03
7368,standard,46,8,04,00,10,27,A9,13,8E,01
7395,standard,43,6,76,00,26,00,94,00,8E,01
7422,standard,42,8,00,00,00,00,00,00,00,01
7450,standard,46,8,04,00,10,27,A9,13,8E,01
7477,standard,48,8,00,0B,02,00,00,00,00,00
7504,standard,43,6,76,00,26,00,94,00,8F,01
7531,standard,47,8,10,27,20,4E,20,4E,E8,03
7561,standard,100,3,00,00,00,27,A9,13,8F,01
7588,standard,47,8,10,27,20,4E,20,4E,E8,03
7615,standard,43,6,76,00,26,00,94,00,8F,01
7643,standard,47,8,10,27,20,4E,20,4E,E8,03
7670,standard,100,3,00,00,00,27,A9,13,8F,01
7697,standard,46,8,04,00,10,27,A9,13,8F,01
7724,standard,43,6,76,00,26,00,94,00,8F,01
7752,standard,46,8,05,00,10,27,A9,13,8F,01
7779,standard,48,8,00,0B,02,00,00,00,00,00
7806,standard,43,6,76,00,26,00,94,00,8F,01
7836,standard,47,8,10,27,20,4E,20,4E,E8,03
7863,standard,100,3,00,00,00,27,A9,13,8F,01
7890,standard,47,8,10,27,20,4E,20,4E,E8,03
7918,standard,43,6,76,00,26,00,94,00,8F,01
7945,standard,46,8,04,00,10,27,A9,13,8F,01
7972,standard,100,3,00,00,00,27,A9,13,8F,01
8000,standard,46,8,04,00,10,27,A9,13,8F,01
8027,standard,42,8,00,00,00,00,00,00,00,01
8054,standard,100,3,00,00,00,27,A9,13,8F,01
8081,standard,48,8,00,0B,02,00,00,00,00,00
8109,standard,43,6,76,00,26,00,94,00,8F,01
8138,standard,47,8,10,27,20,4E,20,4E,E8,03
8165,standard,100,3,00,00,00,27,A3,13,8F,01
8193,standard,47,8,10,27,20,4E,20,4E,E8,03
8220,standard,43,6,76,00,26,00,94,00,8F,01
8247,standard,46,8,04,00,10,27,A3,13,8F,01
8274,standard,100,3,00,00,00,27,A3,13,8F,01
8302,standard,46,8,04,00,10,27,A3,13,8F,01
8329,standard,48,8,00,0B,02,00,00,00,00,00
8356,standard,100,3,00,00,00,27,A3,13,8F,01
8383,standard,47,8,10,27,20,4E,20,4E,E8,03
8413,standard,43,6,76,00,26,00,94,00,8F,01
8440,standard,47,8,10,27,20,4E,20,4E,E8,03
8467,standard,100,3,00,00,00,27,A3,13,8F,01
8494,standard,46,8,04,00,10,27,A3,13,8F,01
8522,standard,43,6,76,00,26,00,94,00,8F,01
8549,standard,46,8,04,00,10,27,A3,13,8F,01
8576,standard,100,3,00,00,00,27,A3,13,8F,01
8603,standard,43,6,76,00,26,00,94,00,8F,01
8631,standard,48,8,00,0B,02,00,00,00,00,00
8658,standard,100,3,00,00,00,27,A3,13,8F,01
8685,standard,47,8,10,27,20,4E,20,4E,E8,03
8715,standard,43,6,76,00,26,00,94,00,8F,01
8742,standard,47,8,10,27,20,4E,20,4E,E8,03
8769,standard,100,3,00,00,00,27,A3,13,8F,01
8796,standard,46,8,05,00,10,27,A3,13,8F,01
8823,standard,43,6,76,00,26,00,94,00,8F,01
8851,standard,46,8,04,00,10,27,A3,13,8F,01
8878,standard,48,8,00,0B,02,00,00,00,00,00
8905,standard,43,6,76,00,26,00,94,00,8F,01
8932,standard,47,8,10,27,20,4E,20,4E,E8,03
8959,standard,100,3,00,00,00,27,9D,13,8F,01
8993,standard,47,8,10,27,20,4E,20,4E,E8,03
9021,standard,43,6,76,00,26,00,94,00,8F,01
9048,standard,46,8,05,00,10,27,9D,13,8F,01
9084,standard,100,3,00,00,00,27,9D,13,8F,01
9120,standard,46,8,04,00,10,27,9D,13,8F,01
9147,standard,43,6,76,00,26,00,94,00,8F,01
9175,standard,100,3,00,00,00,27,9D,13,8F,01
9202,standard,48,8,00,0B,02,00,00,00,00,00
9237,standard,43,6,76,00,26,00,94,00,8F,01
9273,standard,47,8,10,27,20,4E,20,4E,E8,03
9302,standard,100,3,00,00,00,27,9D,13,8F,01
9329,standard,46,8,04,00,10,27,9D,13,8F,01
9357,standard,43,6,76,00,26,00,94,00,8F,01
9384,standard,100,3,00,00,00,27,9D,13,8F,01
9411,standard,46,8,04,00,10,27,9D,13,8F,01
9438,standard,43,6,76,00,26,00,94,00,8F,01
9465,standard,46,8,04,00,10,27,9D,13,8F,01
9493,standard,100,3,00,00,00,27,9D,13,8F,01
9520,standard,43,6,76,00,26,00,94,00,8F,01
9547,standard,46,8,05,00,10,27,9D,13,8F,01
9574,standard,100,3,00,00,00,27,9D,13,8F,01
9604,standard,43,6,76,00,26,00,94,00,8F,01
9631,standard,47,8,10,27,20,4E,20,4E,E8,03
9658,standard,100,3,00,00,00,27,A3,13,8F,01
9685,standard,47,8,10,27,20,4E,20,4E,E8,03
9713,standard,43,6,76,00,26,00,94,00,8F,01
9740,standard,47,8,10,27,20,4E,20,4E,E8,03
9767,standard,100,3,00,00,00,27,A3,13,8F,01
9794,standard,46,8,04,00,10,27,A3,13,8F,01
9822,standard,43,6,76,00,26,00,94,00,8F,01
9849,standard,46,8,04,00,10,27,A3,13,8F,01
9878,standard,48,8,00,0B,02,00,00,00,00,00
9906,standard,43,6,76,00,26,00,94,00,8F,01
9933,standard,47,8,10,27,20,4E,20,4E,E8,03
9960,standard,100,3,00,00,00,27,A3,13,8F,01
9987,standard,47,8,10,27,20,4E,20,4E,E8,03
10015,standard,43,6,76,00,26,00,94,00,8F,01
10042,standard,46,8,04,00,10,27,A3,13,8F,01
10069,standard,100,3,00,00,00,27,A3,13,8F,01
10096,standard,46,8,03,00,10,27,A3,13,8F,01
10123,standard,43,6,76,00,26,00,94,00,8F,01
10151,standard,100,3,00,00,00,27,A3,13,8F,01
10180,standard,47,8,10,27,20,4E,20,4E,E8,03
10207,standard,43,6,76,00,26,00,94,00,8F,01
10235,standard,47,8,10,27,20,4E,20,4E,E8,03
10262,standard,100,3,00,00,00,27,A3,13,8F,01
10289,standard,47,8,10,27,20,4E,20,4E,E8,03
10316,standard,43,6,76,00,26,00,94,00,8F,01
10344,standard,46,8,05,00,10,27,A3,13,8F,01
10371,standard,100,3,00,00,00,27,A3,13,8F,01
10398,standard,46,8,04,00,10,27,A9,13,8F,01
10425,standard,43,6,76,00,26,00,94,00,8F,01
10455,standard,100,3,00,00,00,27,A9,13,8F,01
10482,standard,47,8,10,27,20,4E,20,4E,E8,03
10509,standard,43,6,76,00,26,00,94,00,8F,01
10537,standard,47,8,10,27,20,4E,20,4E,E8,03
10564,standard,100,3,00,00,00,27,A9,13,8F,01
10591,standard,46,8,04,00,10,27,A9,13,8F,01
10618,standard,43,6,76,00,26,00,94,00,8F,01
10646,standard,46,8,04,00,10,27,A9,13,8F,01
10673,standard,100,3,00,00,00,27,A9,13,8F,01
10700,standard,43,6,76,00,26,00,94,00,8F,01
10730,standard,48,8,00,0B,02,00,00,00,00,00
10757,standard,100,3,00,00,00,27,A9,13,8F,01
10784,standard,47,8,10,27,20,4E,20,4E,E8,03
10811,standard,43,6,76,00,26,00,94,00,8F,01
10839,standard,47,8,10,27,20,4E,20,4E,E8,03
10866,standard,48,8,00,0B,02,00,00,00,00,00
10893,standard,46,8,04,00,10,27,A9,13,8F,01
10920,standard,48,8,00,0B,02,00,00,00,00,00
10948,standard,46,8,04,00,10,27,A9,13,8F,01
10975,standard,48,8,00,0B,02,00,00,00,00,00
11004,standard,48,8,00,0B,02,00,00,00,00,00
11032,standard,47,8,10,27,20,4E,20,4E,E8,03
11059,standard,48,8,00,0B,02,00,00,00,00,00
11086,standard,47,8,10,27,20,4E,20,4E,E8,03
11113,standard,48,8,00,0B,02,00,00,00,00,00
11141,standard,46,8,04,00,10,27,A9,13,8F,01
11168,standard,48,8,00,0B,02,00,00,00,00,00
11195,standard,46,8,04,00,10,27,A9,13,8F,01
11222,standard,48,8,00,0B,02,00,00,00,00,00
11250,standard,48,8,00,0B,02,00,00,00,00,00
11277,standard,100,3,00,00,00,00,00,00,00,00
11306,standard,48,8,00,0B,02,00,00,00,00,00
11334,standard,47,8,10,27,20,4E,20,4E,E8,03
11361,standard,48,8,00,0B,02,00,00,00,00,00
11388,standard,47,8,10,27,20,4E,20,4E,E8,03
11415,standard,48,8,00,0B,02,00,00,00,00,00
11443,standard,46,8,03,00,10,27,A9,13,8F,01
11470,standard,48,8,00,0B,02,00,00,00,00,00
11497,standard,46,8,04,00,10,27,A9,13,8F,01
11524,standard,48,8,00,0B,02,00,00,00,00,00
11552,standard,48,8,00,0B,02,00,00,00,00,00
11581,standard,47,8,10,27,20,4E,20,4E,E8,03
11609,standard,48,8,00,0B,02,00,00,00,00,00
11636,standard,47,8,10,27,20,4E,20,4E,E8,03
11663,standard,48,8,00,0B,02,00,00,00,00,00
11690,standard,46,8,04,00,10,27,A3,13,8F,01
11718,standard,48,8,00,0B,02,00,00,00,00,00
11745,standard,46,8,04,00,10,27,A3,13,8F,01
11772,standard,48,8,00,0B,02,00,00,00,00,00
11799,standard,48,8,00,0B,02,00,00,00,00,00
11826,standard,43,6,76,00,26,00,94,00,00,00
11856,standard,48,8,00,0B,02,00,00,00,00,00
11883,standard,47,8,10,27,20,4E,20,4E,E8,03
11910,standard,48,8,00,0B,02,00,00,00,00,00
