tempoDoSistema,frameType,msgId,DLC,data0,data1,data2,data3,data4,data5,data6,data7
7001,standard,100,3,00,00,00,00,00,00,00,00
7048,standard,48,8,00,0B,06,00,00,00,00,00
7082,standard,47,8,10,27,20,4E,20,4E,E8,03
7111,standard,46,8,05,00,10,27,61,01,3A,01
7141,standard,43,6,76,00,26,00,9B,00,3A,01
7171,standard,42,8,00,00,00,00,00,00,00,01
7201,standard,48,8,00,0B,06,00,00,00,00,00
7230,standard,47,8,10,27,20,4E,20,4E,E8,03
7260,standard,46,8,05,00,10,27,62,01,3A,01
7290,standard,100,3,00,00,00,27,62,01,3A,01
7320,standard,48,8,00,0B,06,00,00,00,00,00
7352,standard,47,8,10,27,20,4E,20,4E,E8,03
7382,standard,46,8,06,00,10,27,62,01,3A,01
7411,standard,43,6,76,00,26,00,9B,00,3A,01
7441,standard,42,8,00,00,00,00,00,00,00,01
7471,standard,46,8,04,00,10,27,62,01,3A,01
7501,standard,48,8,00,0B,06,00,00,00,00,00
7531,standard,43,6,76,00,26,00,9B,00,3A,01
7561,standard,47,8,10,27,20,4E,20,4E,E8,03
7590,standard,100,3,00,00,00,27,61,01,3A,01
